"team","season","week","carries","rush_yards","rush_td","rush_fumble","qb_scramble","rush_20plus","rush_40plus","rush_longest","rush_stacked_box","yard_per_car","passing_yards","pass_td","ints","yac","sacks","completions","pass_20plus","pass_40plus","pass_longest","pass_against_blitz","pass_attempts","completion_pct","yds_per_att"
"LAC",2023,7,21,68,0,0,2,1,0,23,2,3.2,424,4,1,238,1,32,6,2,53,15,42,0.762,10.1
"LAC",2023,8,25,73,2,1,1,0,0,12,6,2.9,232,0,2,116,1,25,1,1,41,8,37,0.676,6.3
"LAC",2023,9,20,64,0,1,1,0,0,10,1,3.2,263,0,0,118,8,33,2,0,33,9,49,0.673,5.4
"LV",2023,1,22,94,0,0,1,0,0,12,0,4.3,177,2,0,78,2,27,2,0,21,7,34,0.794,5.2
"LV",2023,10,21,108,0,0,4,2,0,20,1,5.1,263,0,1,149,2,23,4,1,41,8,40,0.575,6.6
"LV",2023,11,28,99,0,1,1,0,0,10,0,3.5,325,2,1,146,1,28,5,0,38,4,39,0.718,8.3
"LV",2023,12,23,69,2,0,3,0,0,8,1,3,298,2,0,204,1,27,3,0,39,3,34,0.794,8.8
"LV",2023,14,30,132,0,0,5,0,0,16,4,4.4,146,0,0,47,5,19,2,0,26,12,36,0.528,4.1
"LV",2023,15,28,92,0,1,1,0,0,11,0,3.3,257,3,1,174,3,23,2,1,79,8,32,0.719,8
"LV",2023,16,25,85,1,1,9,0,0,13,1,3.4,246,1,1,206,4,28,3,1,45,4,45,0.622,5.5
"LV",2023,17,29,134,1,1,1,1,0,27,0,4.6,224,1,0,125,1,15,3,2,58,0,23,0.652,9.7
"LV",2023,18,20,48,1,1,1,0,0,11,0,2.4,272,1,1,160,5,20,6,1,47,0,34,0.588,8
"LV",2023,2,35,183,2,0,0,1,0,36,3,5.2,274,3,0,153,2,31,2,1,40,16,37,0.838,7.4
"LV",2023,3,31,105,0,0,1,0,0,17,9,3.4,235,2,0,120,1,16,2,1,72,11,28,0.571,8.4
"LV",2023,4,37,155,2,0,5,2,1,51,4,4.2,167,1,1,85,2,13,2,1,51,9,24,0.542,7
"LV",2023,5,25,110,1,0,2,1,0,26,7,4.4,182,0,3,131,2,16,1,1,77,6,30,0.533,6.1
"LV",2023,6,19,83,2,0,0,0,0,15,3,4.4,200,0,1,141,4,24,1,0,36,11,33,0.727,6.1
"LV",2023,7,38,173,2,0,2,0,0,14,14,4.6,162,1,0,111,2,21,0,0,17,7,29,0.724,5.6
"LV",2023,8,43,222,1,1,0,2,0,27,9,5.2,272,1,1,176,1,26,3,1,44,14,37,0.703,7.4
